name,platform,genre,year_of_release,critic_score,user_score,rating,global_sales
Call of Duty: Advanced Warfare,PC,Shooter,2014,78.0,4.5,M,0.41000000000000003
Resistance: Burning Skies,PSV,Shooter,2012,60.0,6.8,M,0.41
Rocksmith 2014,XOne,Misc,2014,75.0,7.0,Unknown,0.41
Dragon Quest X,WiiU,Role-Playing,2013,74.0,7.5,Unknown,0.41
Dragon Quest Builders: Revive Alefgard,PS4,Role-Playing,2016,74.0,7.5,Unknown,0.4
Tales of Zestiria,PS4,Role-Playing,2015,72.0,6.8,T,0.4
Metal Gear Solid: The Legacy Collection,PS3,Adventure,2013,93.0,9.0,M,0.41
Life is Strange,PS4,Adventure,2016,85.0,8.6,M,0.38999999999999996
Mass Effect Trilogy,X360,Action,2012,73.0,7.4,M,0.4
The Wonderful 101,WiiU,Action,2013,78.0,8.5,T,0.4
Asura's Wrath,PS3,Action,2012,71.0,7.4,T,0.41
FIFA 14,PC,Sports,2013,87.0,4.6,E,0.4
Ragnarok Odyssey,PSV,Role-Playing,2012,66.0,7.8,T,0.4
FIFA Soccer 13,PC,Action,2012,86.0,6.6,E,0.4
Pro Evolution Soccer 2016,PS3,Sports,2015,77.0,7.2,E,0.39999999999999997
Moshi Monsters: Moshlings Theme Park,DS,Misc,2012,75.0,7.0,E,0.39999999999999997
Disney Infinity 3.0,X360,Action,2015,73.0,7.1,Unknown,0.39
LEGO The Lord of the Rings,3DS,Action,2012,61.0,7.6,E10+,0.39
Armored Core V,PS3,Simulation,2012,65.0,7.3,T,0.39
Saints Row IV,PS4,Action,2015,73.0,7.1,Unknown,0.39999999999999997
Project X Zone,3DS,Role-Playing,2012,70.0,7.3,T,0.39
Dishonored,PS4,Action,2015,73.0,7.1,Unknown,0.4
Dark Souls III,XOne,Role-Playing,2016,87.0,8.6,Unknown,0.38999999999999996
Transformers: Fall of Cybertron,PS3,Action,2012,77.0,8.2,T,0.39
Metal Gear Solid HD Edition,PSV,Action,2012,73.0,7.1,Unknown,0.39
Until Dawn: Rush of Blood,PS4,Adventure,2016,72.0,8.0,M,0.39999999999999997
Sonic Lost World,WiiU,Platform,2013,63.0,7.3,E10+,0.39
Skylanders SWAP Force,PS4,Platform,2013,79.0,5.2,E10+,0.38
The Darkness II,X360,Shooter,2012,80.0,7.5,M,0.38
WipeOut 3 The Game,Wii,Action,2012,73.0,7.1,Unknown,0.39
MLB 15: The Show,PS3,Sports,2015,77.0,8.2,E,0.39
F1 2016 (Codemasters),PS4,Racing,2016,75.0,6.3,Unknown,0.37999999999999995
Just Dance 2015,PS4,Misc,2014,72.0,5.8,E10+,0.39
One Piece: Unlimited World Red,3DS,Action,2013,75.0,7.6,T,0.38
Sonic & All-Stars Racing Transformed,PSV,Racing,2012,75.0,6.3,Unknown,0.38
Farming Simulator 2013,X360,Simulation,2013,33.0,6.2,E,0.38999999999999996
FIFA 14,Wii,Sports,2013,77.0,4.3,E,0.38
Rock Band 4,PS4,Misc,2015,78.0,6.3,T,0.38
Wolfenstein: The New Order,X360,Shooter,2014,76.0,7.4,M,0.38
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Adventure,2013,72.0,7.55,Unknown,0.38
Battlefield 1,PC,Shooter,2016,88.0,7.6,M,0.38
Metal Gear Solid: Snake Eater 3D,3DS,Action,2012,78.0,7.8,M,0.38
Deus Ex: Mankind Divided,PS4,Role-Playing,2016,84.0,7.6,M,0.38
FIFA 17,X360,Sports,2016,77.0,1.7,E,0.38
Tales of Hearts,PSV,Role-Playing,2013,74.0,7.5,Unknown,0.38
Etrian Odyssey IV: Legends of the Titans,3DS,Role-Playing,2012,74.0,7.5,Unknown,0.38
Mobile Suit Gundam: Extreme VS Full Boost,PS3,Fighting,2014,74.0,7.4,Unknown,0.38
LEGO Marvel Super Heroes,DS,Action,2013,73.0,4.8,E10+,0.38
Just Dance 2014,PS3,Misc,2013,77.0,7.1,E10+,0.37000000000000005
Wii Sports Club,WiiU,Sports,2014,68.0,7.0,E10+,0.38
Skylanders Giants,WiiU,Action,2012,80.0,6.9,E10+,0.37
GRID 2,PS3,Racing,2013,82.0,6.6,E,0.38000000000000006
Resident Evil Zero,PS4,Action,2016,73.0,7.1,Unknown,0.37
Farming Simulator 2015,PS3,Simulation,2015,70.0,7.05,Unknown,0.37
Persona 5,PS4,Role-Playing,2016,74.0,7.5,Unknown,0.37
Just Dance 4,WiiU,Misc,2012,66.0,7.8,E10+,0.37
Tiger Woods PGA Tour 14,PS3,Sports,2013,74.0,3.8,E,0.37000000000000005
BioShock The Collection,PS4,Shooter,2016,84.0,8.5,M,0.37000000000000005
Theatrhythm Final Fantasy: Curtain Call,3DS,Misc,2014,83.0,8.2,T,0.38
Rocket League,PS4,Sports,2016,85.0,8.7,E,0.36000000000000004
Destiny: The Taken King,PS3,Shooter,2015,76.0,5.5,T,0.36000000000000004
Skylanders: SuperChargers,PS3,Action,2015,73.0,4.2,E10+,0.37
DiRT Rally,PS4,Racing,2016,85.0,8.1,E,0.36
Skylanders: Trap Team,XOne,Action,2014,73.0,7.1,Unknown,0.37
Scribblenauts: Unlimited,WiiU,Action,2012,73.0,7.4,E10+,0.37
Batman: Arkham City,WiiU,Action,2012,73.0,7.1,Unknown,0.37
Sid Meier's Civilization: Beyond Earth,PC,Strategy,2014,81.0,5.5,E10+,0.36
NHL 15,PS3,Sports,2014,77.0,1.6,E10+,0.36
Star Fox: Zero,WiiU,Shooter,2016,69.0,7.4,E10+,0.37
Sword Art Online: Lost Song,PSV,Role-Playing,2015,70.0,7.1,T,0.36
Zoo Tycoon (2013),XOne,Simulation,2013,70.0,7.05,Unknown,0.36
Just Dance 2016,PS4,Misc,2015,73.0,6.8,E10+,0.36000000000000004
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,Strategy,2012,80.0,7.1,Unknown,0.36
Fossil Fighters: Frontier,3DS,Role-Playing,2014,57.0,4.8,E10+,0.36
Watch Dogs 2,XOne,Action,2016,83.0,7.7,M,0.36
ESPN: Sports Connection,WiiU,Sports,2012,31.0,2.7,E,0.35
Dragon's Crown,PSV,Role-Playing,2013,78.0,8.4,T,0.36
Thief (2014),PS3,Action,2014,73.0,7.1,Unknown,0.34
Wipeout 2048,PSV,Racing,2012,79.0,8.2,E10+,0.35000000000000003
Farming Simulator 2015,PS4,Simulation,2015,70.0,7.05,Unknown,0.36000000000000004
Earth Defense Force 2025,PS3,Shooter,2013,69.0,7.5,M,0.34
Middle-Earth: Shadow of Mordor,PC,Action,2014,84.0,8.0,M,0.35
Farming Simulator 2015,X360,Simulation,2015,70.0,7.05,Unknown,0.36
Tiger Woods PGA Tour 14,X360,Sports,2013,77.0,6.2,E,0.36
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,Action,2013,73.0,7.1,Unknown,0.35
Homefront: The Revolution,PS4,Shooter,2016,48.0,3.8,M,0.35000000000000003
Assassin's Creed III,WiiU,Action,2012,85.0,7.1,M,0.35
One Piece: Burning Blood,PS4,Fighting,2016,66.0,7.8,T,0.36
Toukiden: The Age of Demons,PSV,Action,2013,71.0,8.0,T,0.35000000000000003
Metro: Last Light,X360,Action,2013,80.0,8.4,Unknown,0.35
Football Manager 2016,PC,Simulation,2015,81.0,6.9,E,0.35000000000000003
FIFA Soccer 13,PSP,Action,2012,73.0,3.2,E,0.33999999999999997
Defiance,PS3,Shooter,2013,59.0,6.9,M,0.35000000000000003
Destiny: The Taken King,X360,Shooter,2015,76.0,4.4,T,0.35
LEGO Marvel's Avengers,XOne,Action,2016,71.0,5.1,E10+,0.33999999999999997
Mirror's Edge Catalyst,PS4,Platform,2016,69.0,4.7,T,0.34
Sniper Elite 3,XOne,Shooter,2014,63.0,6.6,M,0.33999999999999997
TrackMania Turbo,PS4,Action,2016,81.0,7.9,E,0.34
Call of Duty: Ghosts,WiiU,Shooter,2013,69.0,3.4,M,0.35
Tekken Tag Tournament 2,X360,Fighting,2012,83.0,7.5,T,0.33999999999999997
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,Action,2016,73.0,7.1,Unknown,0.34
Company of Heroes 2,PC,Strategy,2013,80.0,2.1,M,0.35
Rayman Legends,XOne,Platform,2014,91.0,7.9,E10+,0.33999999999999997
Disney Infinity 3.0,XOne,Action,2015,73.0,7.1,Unknown,0.33999999999999997
James Bond 007: Legends,PS3,Shooter,2012,76.0,6.7,Unknown,0.34
Dead or Alive 5,PS4,Fighting,2015,74.0,7.4,Unknown,0.33999999999999997
Disney Magic World 2,3DS,Action,2015,73.0,7.1,Unknown,0.33
Angry Birds Star Wars,3DS,Strategy,2013,80.0,3.0,E,0.32999999999999996
World of Final Fantasy,PS4,Role-Playing,2016,77.0,8.3,E10+,0.34
NHL 17,PS4,Sports,2016,78.0,5.8,E10+,0.33
Star Ocean 5: Integrity and Faithlessness,PS4,Role-Playing,2016,74.0,7.5,Unknown,0.33999999999999997
LEGO Batman 2: DC Super Heroes,PSV,Action,2012,62.0,6.7,E10+,0.33
Sniper: Ghost Warrior 2,PS3,Shooter,2013,52.0,6.0,M,0.33
Dragon Ball Z: Extreme Butoden,3DS,Fighting,2015,61.0,6.6,T,0.33
Medal of Honor: Warfighter,PC,Action,2012,55.0,5.4,M,0.33
Danganronpa: Trigger Happy Havoc,PSV,Misc,2013,80.0,8.1,M,0.33
Alien: Isolation,PS3,Shooter,2014,76.0,8.3,M,0.33
Binary Domain,PS3,Action,2012,72.0,8.2,M,0.33000000000000007
One Piece: Romance Dawn - Bouken no Yoake,PSP,Fighting,2012,74.0,7.4,Unknown,0.32
Hatsune Miku: Project Mirai DX,3DS,Misc,2015,80.0,8.5,E10+,0.32000000000000006
Just Dance 2016,XOne,Misc,2015,66.0,6.1,E10+,0.31999999999999995
Remember Me,PS3,Action,2013,72.0,7.4,M,0.33
Silent Hill: Downpour,X360,Action,2012,68.0,7.3,M,0.32
Dragon Ball: XenoVerse,XOne,Fighting,2015,67.0,7.2,T,0.31999999999999995
Dead or Alive 5,X360,Fighting,2012,76.0,7.9,M,0.33000000000000007
Dragon Ball Heroes: Ultimate Mission 2 ,3DS,Strategy,2014,80.0,7.1,Unknown,0.32
Just Dance 2016,X360,Misc,2015,75.0,6.0,E10+,0.31000000000000005
World of Warcraft: Legion,PC,Role-Playing,2016,88.0,7.5,T,0.32000000000000006
Hatsune Miku: Project Diva F 2nd,PSV,Misc,2014,81.0,8.4,T,0.33
Silent Hill HD Collection,PS3,Action,2012,70.0,4.8,M,0.32
Persona 4: Dancing All Night,PSV,Misc,2015,76.0,8.6,T,0.32
Murdered: Soul Suspect,PS4,Action,2014,59.0,6.9,M,0.32
The Darkness II,PS3,Shooter,2012,79.0,7.6,M,0.32
Rise of the Tomb Raider,X360,Adventure,2015,72.0,7.5,M,0.31999999999999995
LEGO Marvel's Avengers,X360,Action,2016,73.0,5.7,E10+,0.31999999999999995
Skylanders SWAP Force,XOne,Platform,2013,78.0,5.5,E10+,0.31000000000000005
F1 Race Stars,PS3,Racing,2012,61.0,5.6,E,0.31
Batman: Arkham Origins,PC,Action,2013,74.0,7.5,T,0.31000000000000005
Drakengard 3,PS3,Role-Playing,2013,61.0,7.7,M,0.31000000000000005
J Stars Victory Vs.,PS3,Fighting,2014,74.0,7.9,Unknown,0.32000000000000006
Batman: Arkham Origins,WiiU,Action,2013,68.0,7.4,T,0.31000000000000005
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,Action,2014,73.0,7.1,Unknown,0.31
Sonic Boom: Rise of Lyric,WiiU,Action,2014,32.0,3.6,E10+,0.31000000000000005
Metro: Last Light,XOne,Action,2014,73.0,7.1,Unknown,0.31000000000000005
Tropico 5,PS4,Simulation,2015,76.0,7.1,T,0.32
LEGO Legends of Chima: Laval's Journey,3DS,Adventure,2013,65.0,3.6,E10+,0.31000000000000005
Skylanders: SuperChargers,PS4,Action,2015,81.0,3.3,E10+,0.3
SD Gundam G Generation: Overworld,PSP,Strategy,2012,80.0,7.1,Unknown,0.31
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,Role-Playing,2012,74.0,7.5,Unknown,0.30000000000000004
Pro Evolution Soccer 2013,X360,Sports,2012,82.0,6.9,E,0.31000000000000005
Dragon Ball Z: Battle of Z,PS3,Fighting,2014,54.0,5.3,T,0.3
DmC: Devil May Cry,PS4,Action,2015,73.0,7.1,Unknown,0.3
BlazBlue: Chrono Phantasma,PS3,Fighting,2013,83.0,8.3,T,0.31000000000000005
Dai-2-Ji Super Robot Taisen OG,PS3,Strategy,2012,80.0,7.1,Unknown,0.3
Kingdoms of Amalur: Reckoning,PC,Role-Playing,2012,81.0,6.6,M,0.30000000000000004
Mario Party: Star Rush,3DS,Misc,2016,68.0,6.8,E,0.31000000000000005
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,Fighting,2016,81.0,8.5,T,0.31000000000000005
Batman: Arkham VR,PS4,Action,2016,75.0,7.3,M,0.31
Sniper Elite 3,X360,Shooter,2014,76.0,6.6,M,0.31000000000000005
Lego Batman 3: Beyond Gotham,PSV,Action,2014,73.0,7.7,E10+,0.31
F1 2013,X360,Racing,2013,79.0,6.6,E,0.30000000000000004
Madden NFL 13,PSV,Sports,2012,63.0,7.3,E,0.30000000000000004
Dynasty Warriors 8: Xtreme Legends,PS4,Action,2014,73.0,7.1,Unknown,0.3
Dragon Quest Builders: Revive Alefgard,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.3
Sword Art Online: Hollow Fragment,PSV,Role-Playing,2014,67.0,7.6,T,0.3
Fist of the North Star: Ken's Rage 2,PS3,Fighting,2012,49.0,7.0,M,0.3
Lego Star Wars: The Force Awakens,XOne,Action,2016,76.0,7.0,E10+,0.29000000000000004
Sorcery,PS3,Action,2012,70.0,7.3,E10+,0.3
Disney Infinity,3DS,Action,2013,73.0,7.1,Unknown,0.29000000000000004
The LEGO Movie Videogame,PSV,Action,2014,73.0,5.6,E10+,0.30000000000000004
Modnation Racers: Road Trip,PSV,Racing,2012,62.0,6.4,E,0.27999999999999997
Deadpool,PS4,Action,2015,60.0,5.7,M,0.3
UEFA Euro 2016,PS4,Sports,2016,72.0,6.6,E,0.3
Resident Evil: Revelations 2,PS3,Action,2015,73.0,6.8,M,0.29000000000000004
Just Dance Wii 2,Wii,Misc,2012,75.0,7.0,Unknown,0.29
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PSV,Fighting,2013,74.0,7.4,Unknown,0.29000000000000004
Borderlands: The Pre-Sequel,PC,Shooter,2014,75.0,6.2,M,0.28
Starhawk,PS3,Action,2012,77.0,7.8,T,0.29000000000000004
FIFA Soccer 13,3DS,Action,2012,68.0,3.7,E,0.29000000000000004
Sonic Boom: Shattered Crystal,3DS,Action,2014,47.0,6.3,E,0.29000000000000004
Angry Birds Star Wars,PS3,Strategy,2013,49.0,3.6,E,0.29000000000000004
Metal Gear Solid V: Ground Zeroes,XOne,Action,2014,76.0,5.4,M,0.28
James Bond 007: Legends,X360,Shooter,2012,76.0,6.7,Unknown,0.29000000000000004
Dragon Ball Heroes: Ultimate Mission,3DS,Misc,2013,75.0,7.0,Unknown,0.29
Disgaea 5: Alliance of Vengeance,PS4,Role-Playing,2015,80.0,8.1,T,0.29
Sonic & All-Stars Racing Transformed,3DS,Racing,2012,75.0,6.3,Unknown,0.28
Assassin's Creed IV: Black Flag,WiiU,Action,2013,86.0,7.7,M,0.29000000000000004
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,Action,2016,73.0,7.1,Unknown,0.28
Hot Shots Golf: World Invitational,PS3,Sports,2012,77.0,7.9,E,0.28
Battlefield: Hardline,X360,Shooter,2015,76.0,4.1,M,0.29000000000000004
FIFA 15,PC,Sports,2014,82.0,4.2,E,0.29000000000000004
Hatsune Miku: Project Diva f,PS3,Misc,2013,73.0,8.4,T,0.29000000000000004
Divinity: Original Sin,PS4,Role-Playing,2015,74.0,7.5,Unknown,0.27999999999999997
LEGO The Lord of the Rings,PSV,Action,2012,54.0,5.6,E10+,0.28
Fable: The Journey,X360,Role-Playing,2012,61.0,4.8,T,0.28
Monster Hunter Stories,3DS,Action,2016,73.0,7.1,Unknown,0.28
Payday 2,PS4,Shooter,2015,76.0,6.7,Unknown,0.29000000000000004
Alien: Isolation,X360,Shooter,2014,76.0,8.2,M,0.27
Moshi Monsters: Moshlings Theme Park,3DS,Misc,2012,75.0,7.0,E,0.29000000000000004
Sniper Elite 3,PS3,Shooter,2014,76.0,6.4,M,0.28
NES Remix,WiiU,Action,2014,71.0,7.1,E,0.27
Skylanders: Trap Team,3DS,Action,2014,73.0,3.4,E10+,0.28
Thief (2014),X360,Action,2014,73.0,7.1,Unknown,0.27
Attack on Titan (KOEI),PS4,Action,2016,73.0,7.1,Unknown,0.29000000000000004
Angry Birds Star Wars,X360,Strategy,2013,59.0,5.6,E,0.28
One Piece: Unlimited World Red,PS3,Action,2014,71.0,7.3,T,0.29
Army of Two: The Devil's Cartel,PS3,Shooter,2013,58.0,6.7,M,0.28
Kobitodzukan: Kobito Kansatsu Set,3DS,Misc,2012,75.0,7.0,Unknown,0.28
Ace Attorney 6,3DS,Adventure,2016,72.0,7.55,Unknown,0.27
GRID 2,X360,Racing,2013,78.0,5.8,E,0.27
Need for Speed: Most Wanted,WiiU,Racing,2013,75.0,6.3,Unknown,0.27
The Evil Within,PC,Action,2014,68.0,5.9,M,0.28
Mass Effect Trilogy,PC,Action,2012,73.0,8.0,M,0.27
Guitar Hero Live,PS3,Misc,2015,75.0,5.1,T,0.26999999999999996
F1 Race Stars,X360,Racing,2012,64.0,5.7,E,0.26
Sing Party,WiiU,Misc,2012,60.0,5.4,E10+,0.27
Sherlock Holmes: Crimes & Punishments,PS4,Adventure,2014,72.0,7.55,Unknown,0.27
Sengoku Basara 4,PS3,Action,2014,73.0,7.1,Unknown,0.27
Rory McIlroy PGA Tour,XOne,Action,2015,60.0,4.3,E,0.27
LEGO The Hobbit,XOne,Action,2014,69.0,6.8,E10+,0.27
Lightning Returns: Final Fantasy XIII,X360,Role-Playing,2013,69.0,6.6,T,0.26
Rhythm Thief & the Emperor's Treasure,3DS,Misc,2012,75.0,7.0,Unknown,0.27
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,Action,2012,73.0,7.1,Unknown,0.27
Mass Effect 3,WiiU,Role-Playing,2012,74.0,7.5,Unknown,0.27
Batman: Arkham Origins Blackgate,3DS,Action,2013,68.0,6.8,T,0.27
LEGO Marvel's Avengers,PS3,Action,2016,73.0,5.5,E10+,0.26
Pro Evolution Soccer 2013,PSP,Sports,2012,77.0,5.7,E,0.28
Ultimate NES Remix,3DS,Action,2014,69.0,7.6,E,0.26
Family Guy: Back to the Multiverse,PS3,Action,2012,40.0,6.4,M,0.26
Gundam Breaker,PS3,Action,2013,73.0,7.1,Unknown,0.26
Batman: Return to Arkham,PS4,Action,2016,73.0,8.5,T,0.27
Aikatsu! 2-nin no My Princess,3DS,Action,2013,73.0,7.1,Unknown,0.26
Angry Birds Star Wars,Wii,Strategy,2013,80.0,2.8,E,0.26
Tearaway Unfolded,PS4,Platform,2015,81.0,8.1,E,0.26
Inazuma Eleven GO 3: Galaxy,3DS,Sports,2013,77.0,5.7,Unknown,0.26
J Stars Victory Vs.,PS4,Fighting,2015,74.0,7.4,Unknown,0.26
Call of Duty: Black Ops 3,PC,Shooter,2015,76.0,6.7,Unknown,0.26
Jikkyou Powerful Pro Yakyuu 2013,PS3,Sports,2013,77.0,5.7,Unknown,0.26
Etrian Odyssey Untold: The Millennium Girl,3DS,Role-Playing,2013,80.0,8.2,T,0.26
Angry Birds Trilogy,X360,Action,2012,63.0,3.5,E,0.24999999999999997
WWE 2K17,XOne,Sports,2016,68.0,5.5,T,0.26
Project CARS,XOne,Racing,2015,81.0,5.8,E,0.26
The Amazing Spider-Man 2 (2014),PS3,Action,2014,73.0,7.1,Unknown,0.26
Yakuza: Ishin,PS3,Action,2014,73.0,7.1,Unknown,0.26
Samurai Warriors 4,PS3,Action,2014,73.0,8.0,T,0.26
Atelier Ayesha: The Alchemist of Dusk,PS3,Role-Playing,2012,70.0,6.6,T,0.26
Battleborn,PS4,Shooter,2016,68.0,6.8,T,0.26
Resident Evil: Revelations,X360,Action,2013,75.0,7.4,M,0.26
Tokyo Jungle,PS3,Action,2012,74.0,8.4,T,0.26
Army of Two: The Devil's Cartel,X360,Shooter,2013,54.0,6.2,M,0.25
Puppeteer,PS3,Platform,2013,80.0,8.5,E10+,0.25
One Piece: Pirate Warriors 3,PS3,Action,2015,73.0,3.7,T,0.26
Final Fantasy Type-0,XOne,Role-Playing,2015,74.0,7.5,Unknown,0.25
Game of Thrones,X360,Role-Playing,2012,52.0,5.2,M,0.24999999999999997
How to Train Your Dragon 2,3DS,Adventure,2014,72.0,7.55,E10+,0.25
Just Dance 2015,PS3,Misc,2014,75.0,6.8,E10+,0.25
The Legend of Legacy,3DS,Role-Playing,2015,67.0,7.1,E10+,0.25
PlayStation VR Worlds,PS4,Misc,2016,59.0,7.1,M,0.26
Anno 2205,PC,Strategy,2015,72.0,5.9,E10+,0.26
Hatsune Miku: Project Diva F 2nd,PS3,Misc,2014,78.0,8.6,T,0.25
Need for Speed Rivals,PC,Racing,2013,76.0,3.3,E10+,0.25
The Bureau: XCOM Declassified,PS3,Shooter,2013,69.0,6.7,M,0.25
Shin Megami Tensei x Fire Emblem,WiiU,Role-Playing,2015,74.0,7.5,Unknown,0.24999999999999997
Yakuza Zero: The Place of Oath,PS3,Action,2015,73.0,7.1,Unknown,0.25
Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,Adventure,2014,72.0,5.9,E10+,0.24000000000000002
Family Guy: Back to the Multiverse,X360,Action,2012,39.0,5.0,M,0.25
Ninja Gaiden 3,X360,Action,2012,58.0,4.4,M,0.26
Sid Meier's Civilization VI,PC,Strategy,2016,88.0,7.3,E10+,0.24
The Walking Dead: Season Two,PS4,Adventure,2014,72.0,7.55,Unknown,0.24000000000000002
Sword Art Online: Lost Song,PS4,Role-Playing,2015,63.0,6.3,T,0.25
F1 2015,XOne,Racing,2015,64.0,5.3,E,0.24999999999999997
Sly Cooper: Thieves in Time,PSV,Platform,2013,75.0,8.2,E10+,0.25
Hitman: Absolution,PC,Action,2012,79.0,7.0,M,0.24000000000000002
Stella Glow,3DS,Role-Playing,2015,79.0,8.7,T,0.24000000000000002
Trials Fusion,XOne,Racing,2014,80.0,7.1,E10+,0.24
Onechanbara Z2: Chaos,PS4,Action,2014,57.0,6.5,M,0.25
Skylanders SWAP Force,3DS,Platform,2013,68.0,6.4,E10+,0.24
Skylanders: SuperChargers,XOne,Action,2015,76.0,5.5,E10+,0.24000000000000002
Ys: Memories of Celceta,PSV,Action,2012,82.0,8.8,T,0.25
Samurai Warriors 4,PS4,Action,2014,76.0,8.1,T,0.24000000000000002
Chibi-Robo! Zip Lash,3DS,Platform,2015,78.0,7.2,Unknown,0.24999999999999997
Total War: Attila,PC,Strategy,2015,80.0,7.3,T,0.24
Asura's Wrath,X360,Action,2012,71.0,6.5,T,0.24
NHL 17,XOne,Sports,2016,77.0,4.0,E10+,0.24000000000000002
LEGO The Hobbit,3DS,Action,2014,73.0,7.1,Unknown,0.24
Dragon Ball: XenoVerse,X360,Fighting,2015,74.0,6.7,T,0.23
Destiny: The Collection,PS4,Shooter,2016,76.0,8.1,T,0.24000000000000002
FIFA 14,3DS,Sports,2013,77.0,5.7,Unknown,0.23
Etrian Mystery Dungeon,3DS,Role-Playing,2015,77.0,7.9,E10+,0.24
Zumba Fitness: World Party,XOne,Misc,2013,73.0,6.2,E,0.24000000000000002
Star Trek: The Game,PS3,Action,2013,73.0,7.1,Unknown,0.24000000000000002
Rocket League,XOne,Sports,2016,87.0,8.3,E,0.24000000000000002
The Testament of Sherlock Holmes,PS3,Adventure,2012,65.0,7.4,M,0.23
NBA Live 14,PS4,Sports,2013,43.0,2.7,E,0.24000000000000002
Game of Thrones,PS3,Role-Playing,2012,53.0,5.5,M,0.23
God Eater 2,PSP,Role-Playing,2013,74.0,7.5,Unknown,0.24
LEGO Marvel's Avengers,WiiU,Action,2016,69.0,6.8,E10+,0.24
Pro Evolution Soccer 2014,X360,Action,2013,80.0,4.3,E,0.24
Birds of Steel,PS3,Simulation,2012,73.0,8.4,T,0.22999999999999998
Girls Mode 3: Kirakira Code,3DS,Action,2015,73.0,7.1,Unknown,0.23
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,Action,2016,73.0,7.1,Unknown,0.23
NBA Live 15,PS4,Sports,2014,59.0,5.6,E,0.24000000000000002
Dynasty Warriors: Gundam Reborn,PS3,Action,2013,64.0,7.5,T,0.23
Hatsune Miku: Project Diva f,PSV,Misc,2012,81.0,8.0,T,0.23
The Legend of Heroes: Trails of Cold Steel,PSV,Role-Playing,2013,77.0,7.5,T,0.23
DiRT Showdown,X360,Racing,2012,75.0,6.4,E10+,0.23
The Amazing Spider-Man 2 (2014),X360,Action,2014,73.0,7.1,Unknown,0.23
XCOM 2,PC,Strategy,2016,88.0,7.1,T,0.22999999999999998
Game & Wario,WiiU,Misc,2013,75.0,7.0,Unknown,0.24
Grand Slam Tennis 2,PS3,Sports,2012,73.0,5.2,E,0.23
Ratchet & Clank: Full Frontal Assault,PS3,Adventure,2012,72.0,7.55,Unknown,0.23
Epic Mickey 2: The Power of Two,WiiU,Action,2012,57.0,5.6,E,0.23
AKB1/149: Love Election,PSP,Adventure,2012,72.0,7.55,Unknown,0.23
Tom Clancy's Rainbow Six: Siege,PC,Shooter,2015,79.0,6.9,M,0.23
Madden NFL 13,WiiU,Sports,2012,75.0,6.7,E,0.22999999999999998
Transformers: Devastation,PS4,Action,2015,77.0,7.5,T,0.23
Tales of Berseria,PS4,Role-Playing,2016,74.0,7.5,T,0.23
Toukiden Kiwami,PSV,Action,2014,82.0,8.6,T,0.22000000000000003
Dark Souls II,XOne,Role-Playing,2015,74.0,7.5,Unknown,0.23
Ninja Gaiden Sigma,PSV,Action,2012,73.0,7.1,Unknown,0.22000000000000003
Lumines: Electronic Symphony,PSV,Misc,2012,83.0,7.8,E,0.23
Spec Ops: The Line,PC,Shooter,2012,76.0,8.2,M,0.22
Guitar Hero Live,X360,Misc,2015,75.0,5.5,T,0.23
3rd Super Robot Wars Z Jigoku Hen,PS3,Role-Playing,2014,74.0,7.5,Unknown,0.23
Killer is Dead,PS3,Action,2013,64.0,7.9,M,0.23
F1 2014,X360,Racing,2014,64.0,4.1,E,0.23
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,Action,2016,73.0,7.1,Unknown,0.22
LEGO Jurassic World,PSV,Action,2015,73.0,7.6,E10+,0.22999999999999998
Sword Art Online: Infinity Moment,PSP,Role-Playing,2013,74.0,7.5,Unknown,0.22
Zumba Fitness: World Party,Wii,Misc,2013,75.0,7.0,E,0.23
Hatsune Miku: Project Mirai 2,3DS,Action,2013,73.0,7.1,Unknown,0.22
We Sing Pop!,Wii,Misc,2012,75.0,7.0,Unknown,0.22
Risen 2: Dark Waters,PC,Role-Playing,2012,69.0,5.6,M,0.22
LEGO The Hobbit,WiiU,Action,2014,73.0,7.8,E10+,0.22
Darksiders II,PS4,Action,2015,73.0,7.1,Unknown,0.23
Soul Sacrifice Delta,PSV,Action,2014,82.0,8.4,M,0.22
Ride,PS4,Racing,2015,66.0,7.0,E,0.23
Spirit Camera: The Cursed Memoir,3DS,Adventure,2012,54.0,6.1,T,0.22
Risen 2: Dark Waters,PS3,Role-Playing,2012,47.0,5.2,M,0.22000000000000003
Muramasa: The Demon Blade,PSV,Role-Playing,2013,74.0,7.5,Unknown,0.22
